SKU,DESCRIPTION,YEAR,CAPACITY,URL,PRICE,SELLER_INFORMATION,OFFER_DESCRIPTION,COUNTRY
11348,"Carruades De Lafite",1999,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/1999/-/-/u,$255.00,"Belmont Wine Exchange LLC","1999Carruadesde Lafite","USA (CA)"
11348,"Carruades De Lafite",1999,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/1999/-/-/u,$377.00,"The Redd Collection","1999Carruadesde Lafite","USA (CA)"
11348,"Carruades De Lafite",1999,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/1999/-/-/u,$470.00,"Sokolin & Co.","1999Carruadesde Lafite","USA (NY)"
11348,"Carruades De Lafite",1999,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/1999/-/-/u,$4092.99,"Flickinger Wines","1999Carruadesde Lafite Pauillac","USA (IL)"
11348,"Carruades De Lafite",1999,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/1999/-/-/u,$4380.00,"Wine Cellarage","1999Carruades Lafite[Future Arrival]","USA (NY)"
11349,"Carruades DeLafite",2003,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/2003/-/-/u,$239.00,"MacArthur Beverages","2003Chateau Carruades Lafite-Pauillac","USA (DC)"
11349,"Carruades De Lafite",2003,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/2003/-/-/u,$305.00,"Belmont Wine Exchange LLC","2003Carruadesde Lafite","USA (CA)"
11349,"Carruades De Lafite",2003,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/2003/-/-/u,$380.00,"The Redd Collection","2003Carruadesde Lafite","USA (CA)"
11349,"Carruades De Lafite",2003,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/2003/-/-/u,$470.00,"Sokolin & Co.","2003Carruadesde Lafite","USA (NY)"
11349,"Carruades De Lafite",2003,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/2003/-/-/u,$2586.00,"Wine Cellarage","2003Carruades Lafite[Future Arrival]","USA (NY)"
11349,"Carruades De Lafite",2003,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/2003/-/-/u,$5232.00,"Wine Cellarage","2003Carruades Lafite[Future Arrival]","USA (NY)"
11350,"Ch Angelus",1994,750ml,https://www.wine-searcher.com/find/ch+angelus/1994/-/-/u,$225.00,"Grand Vin Wine Merchants US","Angelus1994(375ML)Saint Emilion","USA (WA)"
11350,"Ch Angelus",1994,750ml,https://www.wine-searcher.com/find/ch+angelus/1994/-/-/u,$258.00,IronGate.Wine,1994Angelus-750mL,"USA (NY)"
11350,"Ch Angelus",1994,750ml,https://www.wine-searcher.com/find/ch+angelus/1994/-/-/u,$294.00,"Kahn's Fine Wines & Spirits",1994L'ANGELUS,"USA (IN)"
11350,"Ch Angelus",1994,750ml,https://www.wine-searcher.com/find/ch+angelus/1994/-/-/u,$373.00,"The Redd Collection","1994Ch Angelus","USA (CA)"
11350,"Ch Angelus",1994,750ml,https://www.wine-searcher.com/find/ch+angelus/1994/-/-/u,$395.00,"Sokolin & Co.",1994L'Angelus,"USA (NY)"
11350,"Ch Angelus",1994,750ml,https://www.wine-searcher.com/find/ch+angelus/1994/-/-/u,$1499.00,"K&L Wine Merchants","1994Angelus St-Emilion(3L)","USA (CA)"
11351,"Ch Angelus",2000,750ml,https://www.wine-searcher.com/find/ch+angelus/2000/-/-/u,$449.98,"Wine Exchange","Angelus Saint Emilion2000","USA (CA)"
11351,"Ch Angelus",2000,750ml,https://www.wine-searcher.com/find/ch+angelus/2000/-/-/u,$475.00,"Golden West International","Chateau Angelus2000","USA (CA)"
11351,"Ch Angelus",2000,750ml,https://www.wine-searcher.com/find/ch+angelus/2000/-/-/u,$655.00,"The Redd Collection","2000Ch Angelus","USA (CA)"
11351,"Ch Angelus",2000,750ml,https://www.wine-searcher.com/find/ch+angelus/2000/-/-/u,$750.00,"Sokolin & Co.",2000L'Angelus,"USA (NY)"
11351,"Ch Angelus",2000,750ml,https://www.wine-searcher.com/find/ch+angelus/2000/-/-/u,$4062.00,"Wine Cellarage","2000Chateau Angelus[Future Arrival]","USA (NY)"
11352,"Ch Angelus",2002,750ml,https://www.wine-searcher.com/find/ch+angelus/2002/-/-/u,$320.00,Vinfolio,2002Angelus750ML,"USA (CA)"
11352,"Ch Angelus",2002,750ml,https://www.wine-searcher.com/find/ch+angelus/2002/-/-/u,$411.00,"The Redd Collection","2002Ch Angelus","USA (CA)"
11353,"Ch Angelus",2003,750ml,https://www.wine-searcher.com/find/ch+angelus/2003/-/-/u,$349.95,"Real Wine","2003Chateau Angelus(Wine Stained Label)","USA (FL)"
11353,"Ch Angelus",2003,750ml,https://www.wine-searcher.com/find/ch+angelus/2003/-/-/u,$375.00,"RL Liquid Assets",Angelus2003750mL,"USA (CA)"
11353,"Ch Angelus",2003,750ml,https://www.wine-searcher.com/find/ch+angelus/2003/-/-/u,$430.00,IronGate.Wine,2003Angelus-750mL,"USA (NY)"
11353,"Ch Angelus",2003,750ml,https://www.wine-searcher.com/find/ch+angelus/2003/-/-/u,$430.00,"The Redd Collection","2003Ch Angelus","USA (CA)"
11353,"Ch Angelus",2003,750ml,https://www.wine-searcher.com/find/ch+angelus/2003/-/-/u,$473.00,"Wine Cellarage","2003Chateau Angelus Saint Emilion Premier Grand Cru ClasseA","USA (NY)"
11353,"Ch Angelus",2003,750ml,https://www.wine-searcher.com/find/ch+angelus/2003/-/-/u,$510.00,"Sokolin & Co.",2003L'Angelus,"USA (NY)"
11353,"Ch Angelus",2003,750ml,https://www.wine-searcher.com/find/ch+angelus/2003/-/-/u,$2614.99,"Flickinger Wines","2003Ch.L'Angelus St.Emilion","USA (IL)"
11353,"Ch Angelus",2003,750ml,https://www.wine-searcher.com/find/ch+angelus/2003/-/-/u,$2760.00,"Wine Cellarage","2003Chateau Angelus[Future Arrival]","USA (NY)"
11354,"Ch Angelus",2004,750ml,https://www.wine-searcher.com/find/ch+angelus/2004/-/-/u,$325.00,"Flickinger Wines","2004Ch.Angelus St.Emilion","USA (IL)"
11354,"Ch Angelus",2004,750ml,https://www.wine-searcher.com/find/ch+angelus/2004/-/-/u,$390.00,IronGate.Wine,2004Angelus-750mL,"USA (NY)"
11354,"Ch Angelus",2004,750ml,https://www.wine-searcher.com/find/ch+angelus/2004/-/-/u,$390.00,"The Redd Collection","2004Ch Angelus","USA (CA)"
11355,"Ch Angelus",2006,750ml,https://www.wine-searcher.com/find/ch+angelus/2006/-/-/u,$390.00,"The Redd Collection","2006Ch Angelus","USA (CA)"
11355,"Ch Angelus",2006,750ml,https://www.wine-searcher.com/find/ch+angelus/2006/-/-/u,$390.00,"Westgarth Wines",2006Angelus,"USA (CA)"
